student_id,gender,age,study_hours,attendance,sleep_hours,internet_access,parent_education,midterm_score,final_score
1,Male,18,10,85,6,Yes,High,78,82
2,Female,19,7,92,7,Yes,Medium,74,79
3,Male,18,5,70,5,No,Low,60,65
4,Female,20,12,95,8,Yes,High,88,91
5,Male,17,3,60,6,No,Low,52,56
6,Female,18,9,88,7,Yes,Medium,80,84
7,Male,19,4,72,6,Yes,Medium,58,63
8,Female,18,11,97,8,Yes,High,90,94
9,Male,17,2,55,5,No,Low,48,50
10,Female,19,8,90,7,Yes,High,76,81
11,Male,18,6,78,6,Yes,Medium,68,71
12,Female,17,13,98,8,Yes,High,92,96
13,Male,20,4,65,5,No,Low,54,58
14,Female,19,10,87,7,Yes,Medium,82,85
15,Male,18,1,50,5,No,Low,40,45
16,Female,17,14,99,8,Yes,High,95,98
17,Male,19,3,68,6,Yes,Medium,56,62
18,Female,18,9,89,7,Yes,High,78,83
19,Male,20,7,75,6,No,Low,66,70
20,Female,18,12,96,8,Yes,High,88,93
